{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{pirazzos-lost-legion} 	{infantry}	3/1 	3	6+ 	– 	3	85	0–1 	<<pikemen>>
{alcatani-fellowship}	{infantry}	3	3	6+ 	– 	3	60	0–1 	<<pikemen>>
{riccos-republican-guard} 	{infantry}	3	3	5+ 	– 	3	75	0–1 	<<pikemen>>
{leopolds-leopard-company}	{infantry}	3	3	6+ 	– 	3	60	0–1 	<<pikemen>>
{marksmen-of-miragliano}	{infantry}	3/1 	3	0	– 	3	65	0–1 	– 
{braganzas-besiegers} 	{infantry}	3/1 	3	5+ 	– 	3	90	0–1 	– 
{lumpin-croops-cocks} 	{infantry}	3/1 	3	0	– 	3	70	0–1 	<<dense-terrain>>
{vesperos-vendetta}	{infantry}	3/1 	3	0	– 	3	60	0–1 	<<throwing-weapons>>
{the-cursed-company}	{infantry}	3	3	5+ 	– 	3	70	0–1 	<<undead>>
{mengils-manflyers}	{infantry}	3/2 	3	6+ 	– 	3	85	0–1 	<<repeating-crossbows>>
{anakondas-amazons}	{infantry}	3/1 	3	6+ 	– 	3	75	0–1 	<<throwing-weapons>>
{bearmen-of-urslo}	{infantry}	3	3	5+ 	– 	3	70	0–1 	– 
{rugluds-armoured-orcs} 	{infantry}	3/1 	3	5+ 	– 	3	90	0–1 	– 
{long-drongs-slayer-pirates} 	{infantry}	3/1 	4	5+ 	– 	3	120	0–1 	<<pistols>>
{golgfags-mercenary-ogres}	{infantry}	4	4	5+ 	– 	3	115	0–1 	<<ogres>>
{volands-venators}	{cavalry} 	3	3	4+ 	– 	3	120	0–1 	– 
{al-muktars-desert-dogs}	{cavalry}	3/1 	3	6+ 	– 	3	85	0–1 	<<light-cavalry>>
{oglah-khans-wolfboyz}	{cavalry}	2/1 	3	6+ 	– 	3	70	0–1 	<<light-cavalry>>
{tichi-huichis-raiders} 	{cavalry}	3/1 	3	6+ 	– 	3	85	0–1 	<<light-cavalry>>
{birdmen-of-catrazza}	{infantry}	2/1 	3	6+ 	– 	3	95	0–1 	<<birdmen>>
{bronzinos-galloper-guns} 	{artillery}	1/2 + bounce 	2	0	– 	2	95	0–1 	<<galloper-guns>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{asarnil-the-dragonlord}	{hero}	+4/3	– 	– 	8	1	190	0–1 	<<dragons>>
{gotrek-and-felix}	{hero}	+2	– 	– 	8	1	100	0–1 	– 
{the-witch-hunters}	{hero}	+1	– 	– 	8	1	90	0–1 	– 
