Troop	Type	Attacks	Hits	Armour	Command	Unit size	Points per unit	Min/max	Special
Skeletons	Infantry	2	3	6+	–	3	30	2/–	–
Skeleton Bowmen	Infantry	2/1	3	–	–	3	45	2/–	–
Skeleton Cavalry	Cavalry	2	3	5+	–	3	60	–/–	–
Skeleton Chariots	Chariot	3/1	3	5+	–	3	110	–/3	–
Carrion	Monster	2	3	6+	–	3	65	–/1	<<carrion>>
Bone Giant	Monster	6	4	4+	–	1	110	–/1	<<bone-giant>>
Sphinx	Monster	4	6	3+	–	1	135	–/1	<<sphinx>>
Skull Chukka	Artillery	1/3	3	–	–	1	85	–/1	<<skull-chukka>>
Bone Thrower	Artillery	1/2 per stand	2	–	–	2	65	–/1	<<bone-thrower>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
Tomb King	General	+2	–	–	9	1	130	1	<<tomb-king>>
Liche Priest	Wizard	+1	–	–	8	1	90	–/2	–
Zombie Dragon	Monstrous Mount	+3/3	–	–	–	–	+100	–/1	<<zombie-dragon>>
Liche Chariot	Chariot Mount	+1	–	–	–	–	+10	–/1	<<liche-chariot>>
