Troop	Type	Attacks	Hits	Armour	Command	Unit size	Points per unit	Min/max	Special
Clanrats	Infantry	3	3	6+	–	3	40	2/–	–
Stormvermin	Infantry	3	3	5+	–	3	55	–/2	–
Jezzails	Infantry	3/1	3	6+	–	3	70	–/2	<<jezzails>>
Plague Monks	Infantry	5	3	–	–	3	70	–/2	<<plague-monks>>
Rat Swarms	Infantry	2	3	–	–	3	25	2/–	<<rat-swarms>>
Gutter Runners	Infantry	3/1	3	6+	–	3	60	–/2	<<gutter-runners>>
Rat Ogres	Infantry	4	4	5+	–	3	110	–/2	–
Warp Lightning Cannon	Artillery	1/3	2	–	–	2	60	–/1	<<warp-lightning-cannon>>
Doom Wheel	Machine	5	4	4+	–	1	125	–/1	<<doom-wheel>>
Screaming Bell	Machine	–	4	4+	–	1	125	0–1	<<screaming-bell>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
Grey Seer	General	+1	–	–	9	1	130	1	<<grey-seer>>
Hero	Hero	+1	–	–	8	1	70	–/2	–
Warlock	Wizard	+0	–	–	6	1	30	–/1	–
Rat Ogre Bodyguard	Special Mount	+1	–	–	–	–	+10	–/1	<<rat-ogre-bodyguard>>
